CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm
FCNSW_001_2019-03-26_T0_P1,FCNSW_001,FC NSW 1001,2019-03-26,0,1,144.425419,-35.73389,80.57,4.41,0.300003,6.71210527,-0.004798889,1.554801583,0.826143622,0.00289604,0.22334455,-20.61222839,-14.67632008,0.455464363,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.109,0.109,17,25,58,31,28,42,Clay,6.31,5.3,0.1482,10063.887518557796,2821.9886075185577,902022.5109225875,579232.6371792153,160276.72714740192,183386.3947826087,16176767.344644751,0,3727.3657476139983,793928.9042417817,0,7827.468069989396,16400.409289501593,7827.468069989396,13977621.553552493,1833863.9478260872,1535674.6880169674,288125.3722905621,0,215069.00363732773,10063.887518557796,73056.36865323437,7827.468069989396,45101.125546129384,0,0,21991.45791092259,n,0.031,1.03,4111.28441961824,402.55550074231184,-31.86,3.64,5906.300505500437,947.1297314571874,3022.009767848366,1308.210016859963,46458.17618239661,8439.045556733829,2386.2378388123016,2124.598476139979,610.491846235419,10977.092126723224,2381.786712725345,0.1327,0.001,28.851,72.512,3928.2092417815475,279435.82523860026,17073.506405090135,0.7153695135305782,10.212962962962962,16.366633696010553,0.21872555633362228,1.2062672322375398,0.109
FCNSW_002_2019-03-26_T0_P2,FCNSW_002,FC NSW 1002,2019-03-26,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,7.05519724,0.040008545,0.70707798,0.471404523,0.009998843,0.233193278,-21.22720528,-14.93515873,0.438273758,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.069,0.069,35,26,39,43,29,28,Silty clay loam,5.85,4.61,0.076,6334.1567338282075,4632.8767546129375,460530.45429480384,315217.44687168614,82716.63499469779,108053.2619300106,11326962.629904559,0,0,454568.8950159067,0,4843.766914103924,13786.105832449628,6334.1567338282075,10693546.95652174,1509019.6924708379,991109.2301166491,296214.97667020146,0,97620.53319194062,7451.9490986214205,107680.66447507954,6706.754188759279,49182.86405090138,0,0,19002.470201484626,n,0.02,1.02,6788.725628844114,450.84292046659596,-29.14,5.05,5643.041743819075,875.0644078046927,3097.0312436604777,1291.7052322533623,42812.17815482503,8146.003181336162,4062.408133616119,2294.3966808059386,498.25777306468717,5454.826740190881,1722.8906316012724,0.1116,9e-4,29.344,71.3591,1789.1983669141046,81922.73453517145,7605.371580063626,0.7086087717259945,15.057851239669422,10.771693884085813,0.19938868797595857,1.2176387416048073,0.069
FCNSW_003_2019-03-26_T0_P3,FCNSW_003,FC NSW 1003,2019-03-26,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,5.73089361,0.0625,2.748800039,-0.128364027,0.005745502,0.2588076,-19.21430779,-12.32167244,0.494540811,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.085,0.085,25,31,43,36,35,29,Silty clay,6.06,4.86,0.0908,6611.287380699892,3522.8244808059385,472707.0477200424,314697.27932131494,87268.9934252386,124953.33149522798,11338357.857900318,0,0,522291.70307529165,0,6941.8517497348885,12892.010392364793,6611.287380699892,11404470.731707316,1609848.477200424,1104084.9925768822,469401.40402969246,0,116358.65790031814,7933.544856839872,97516.48886532342,6280.723011664899,39998.288653234355,0,0,18511.6046659597,n,0.023,1.02,4869.213155885472,376.8433806998939,-23.55,3.95,5745.081089702749,821.405979371111,2909.692381076622,1551.7421355406905,30515.62841993637,8079.382078472959,4156.360816542948,2836.0478366914103,492.6057264050901,7956.684362672323,1753.9745420996817,0.0963,9e-4,32.725,68.435,1086.973425238601,109489.54471544715,5217.731707317071,0.6765025701858443,12.921052631578949,20.98412698412699,0.18411252620914992,1.0802757158006362,0.085
FCNSW_004_2019-03-26_T0_P4,FCNSW_004,FC NSW 1004,2019-03-26,0,4,144.425377,-35.735393,80.269997,4.10999,0,6.21222591,0.040000916,1.699662209,-0.755148768,-4.96749e-4,0.26001513,-18.35289383,-12.24174213,0.518620133,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.037,0.037,63,21,16,63,24,14,Loam,5.44,4.43,0.0644,3007.6236267232234,4661.482441018027,245956.77658536588,136679.78481442205,38096.56593849416,54805.58608695652,4778779.762460234,0,0,233926.28207847296,0,0,6683.608059384942,0,4143836.9968186636,788665.751007423,464510.7601272535,60152.472534464476,0,35088.942311770945,0,62825.91575821845,3341.804029692471,41438.369968186635,0,0,9022.87088016967,n,0.011,1.01,6389.529304772004,380.9656593849416,-30.91,3.39,5233.574324283472,1186.9887010892999,2524.3126931934644,1091.9347861784802,25434.10651113468,4331.110371155885,1636.160487804878,951.2560975609756,326.90122587486746,6549.935898197243,1447.3353252598092,0.0991,9e-4,31.642,69.3009,1743.6937857900318,86078.10731707315,2620.503753976671,0.6865356553061186,16.771929824561404,32.847923681257,0.32823768502023304,1.1029056203605514,0.037
FCNSW_005_2019-03-26_T1_P1,FCNSW_005,FC NSW 1011,2019-03-26,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,5.40099144,0.101257324,0.687176883,1.027360559,0.01627399,0.338012546,-19.12982559,-12.73651791,0.496902347,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.065,0.065,58,24,18,54,26,20,Loam,8.34,7.35,0.2252,6840.749522799575,14650.725241145281,762563.5520678685,299552.82120890776,63726.982396606574,200902.01230116648,10441144.008483564,0,6480.710074231178,5220572.004241782,0,3960.4339342523863,10801.183457051962,8640.946765641569,8892974.379639449,2376260.360551432,2109831.1686108164,518456.80593849416,0,117732.89968186639,9000.986214209968,370840.6320254507,4680.512831389184,61566.74570519618,0,0,24482.682502651114,y,0.02,1.02,6729.1372937433725,540.0591728525981,-25.25,5.12,9045.837142007287,1572.9936967914643,5024.9968979955975,2685.6047861604893,72636.19384941676,9971.680805938495,5012.666871686109,726.4325344644751,232.6137221633086,9854.279707317075,1790.4761777306467,0.1137,0.0014,26.323,73.2772,4232.581399787911,121354.47295864264,7356.10010604454,0.7357133821016423,12.46,16.49712092130518,0.2040040143720154,1.176599505125486,0.065
FCNSW_006_2019-03-26_T1_P2,FCNSW_006,FC NSW 1012,2019-03-26,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,5.79950857,-0.011253357,2.007002115,0.251950651,0.002717752,0.243641719,-18.76263237,-13.29092598,0.507166624,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.102,0.102,29,22,49,36,29,35,Clay,5.99,4.93,0.1188,8467.04487804878,3193.548448568399,636869.0277836692,505445.765980912,127373.80555673385,189220.0464050901,13952217.429480383,0,0,585330.4937433721,0,7362.647720042417,15093.427826086956,7362.647720042417,11964302.545068929,1818573.9868504773,1317913.941887593,434396.2154825026,0,153143.0725768823,9571.442036055143,80620.99253446447,8098.91249204666,44544.018706256626,0,0,21719.81077412513,n,0.023,1.02,6942.9768,408.6269484623543,-26.45,3.91,5548.169857580537,988.4211599944842,2997.6405683486046,1108.1294284435476,30381.749268292686,7261.591770943797,4406.761208907742,1790.4948695652174,336.73285896076356,5164.897375609756,1437.18883495228,0.1165,8e-4,31.704,69.5859,1064.3356924708378,119069.5730411217,5413.7115588547185,0.6869974202758616,16.99099099099099,21.99407407407407,0.2407395350364828,1.2030470130788264,0.102
FCNSW_007_2019-03-26_T1_P3,FCNSW_007,FC NSW 1013,2019-03-26,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,5.52647734,-0.041252136,4.844833851,0.027444854,-0.002432437,0.231274635,-18.93504143,-13.30503273,0.502347231,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.087,0.087,39,24,38,43,27,30,Clay loam,5.6,4.61,0.1086,7584.3868504772,4174.067303160127,552901.8013997879,367084.32356309646,83428.2553552492,128176.13777306466,10542297.722163308,0,0,686387.0099681866,0,4550.63211028632,12514.23830328738,6067.50948038176,9632171.300106045,1429656.9213149522,872204.4878048779,209329.07707317072,0,105043.75787910924,6446.728822905619,93667.17760339341,6825.94816542948,69397.13968186638,0,0,17823.30909862142,n,0.019,1.02,8953.368676988335,447.4788241781548,-27.48,2.8,9383.29823113355,1607.995798191299,4407.348097646517,2299.78031631847,38457.302735949095,8703.455694591728,6423.6782354188745,1780.4719915164367,419.3719787910922,8741.005845174974,1685.2507581760342,0.0978,9e-4,31.431,69.4849,499.30546765641697,87179.13948391659,4156.5414209968185,0.6885426379787526,20.008474576271187,20.97396143907772,0.23974429874389655,1.2392788971367974,0.087
FCNSW_008_2019-03-26_T1_P4,FCNSW_008,FC NSW 1014,2019-03-26,1,4,144.417776,-35.745531,79.559998,3.39999,0,5.54051876,-0.140914917,2.687362432,-0.272436529,-0.017103843,0.255311728,-18.23065758,-13.34630299,0.522037029,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.048,0.048,55,23,23,58,23,19,Loam,5.72,4.72,0.0747,3775.317022269353,5089.813767295865,335583.73531283136,194867.37357370096,51862.94091198304,77794.41136797454,6063387.94485684,0,0,322618.0000848356,0,0,8389.593382820784,0,4843083.45281018,972430.1420996818,549137.0214209968,80463.82744432661,0,54913.70214209968,3813.4515376458107,64065.98583244962,4576.141845174974,43092.002375397664,0,0,11440.354612937434,n,0.012,1.01,4530.3804267232235,415.6662176033934,-27.63,3.3,5710.325426026528,1279.4497834419499,2637.620658034532,1177.4845760063665,23477.268971367976,6354.493997879108,5064.339155885472,1367.556581124072,294.1266086956522,5331.205249628843,1447.2048585365853,0.115,9e-4,29.53,71.1897,0,92613.59311888769,3345.265408271476,0.7068100877981169,10.899082568807339,27.6849761725608,0.33536421801051536,1.2585648639095086,0.048
FCNSW_009_2019-03-27_T2_P1,FCNSW_009,FC NSW 1021,2019-03-27,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,7.23809719,0.17250061,1.16666162,0.571407795,-0.003333365,0.250952989,-18.94776344,-13.32353306,0.50199157,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.123,0.123,17,26,57,28,31,42,Silty clay,5.26,4.2,0.1498,8214.086161187699,3460.1016545387065,485616.7738494168,437646.5106680806,109740.19111346766,113025.82557794273,14588217.022269351,0,0,440275.0182396607,0,4599.888250265111,16428.172322375398,5914.142036055143,13306819.581124071,1307682.516861082,975833.4359490987,199438.01199363734,0,136682.3937221633,8214.086161187699,71955.39477200425,6571.2689289501595,58155.7300212089,0,0,18070.989554612937,n,0.031,1.03,3686.48186914104,367.99106002120897,-26.43,3.82,6376.36237858343,1100.9229429089783,3270.0477891379387,1305.7713007493296,36448.213001060445,4922.0718239660655,1602.9430275715802,1242.1612237539766,316.12269459172853,4685.314746341463,1403.2944797773066,0.0786,7e-4,32.314,68.7586,2076.9675726405085,75941.75192647577,2890.08235418876,0.6802892178493479,10.017857142857142,26.276674025018384,0.24059581930196045,1.063312124425592,0.123
FCNSW_010_2019-03-27_T2_P2,FCNSW_010,FC NSW 1022,2019-03-27,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,5.86268425,0.058128357,1.740020871,-0.196182489,-0.002138764,0.244531512,-18.92961693,-13.51634502,0.502498865,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.11,0.11,16,40,44,25,35,41,Silty clay,5.04,3.88,0.0581,7835.208907741253,4498.193433934252,313408.35630965006,339264.5457051963,72083.92195121953,90888.42332979852,10538355.980911985,0,0,283242.8020148463,0,6659.927571580065,15278.657370095443,5876.40668080594,13437383.276776249,1093011.6426299047,783520.8907741252,434854.0943796395,0,65815.75482502652,7051.688016967127,140641.99989395548,8226.969353128316,49753.57656415695,0,0,20371.543160127258,n,0.025,1.03,5030.204118769884,497.5357656415695,-21.36,3.01,7719.9787468752675,1022.2229782594857,3739.635836457913,1867.4505594151788,29355.408907741257,5206.990774125134,2447.932258748675,1112.90394485684,295.5319088016968,7717.680774125134,1784.8605891834575,0.0732,6e-4,33.834,67.32,1646.1545705196183,91241.72616943561,2966.7295864262996,0.6655199003499614,10.11023622047244,30.754985754985746,0.1823091185132904,1.2678331565924357,0.11
